model_id	split	label	object_class	page	token	object_id	source_forms	source_unit_sequences	canonical_assignment	in_any_maximum_assignment
M1_004	TRAIN	f68r1.S.9	STAR	f68r1	ofcheor	STAR_CAPH	kaff al-khadīb	h+d+b	1	1
M1_004	TRAIN	f68r2.S.1	STAR	f68r2	cheorol	STAR_ALDEBARAN	al-dabarān	d+b+r	1	1
M1_004	TRAIN	f68r2.S.20	STAR	f68r2	opocphor	STAR_PROCYON	al-sha‘āmiya	s+m+y	1	1
M1_004	TRAIN	f68r2.S.21	STAR	f68r2	otoshol	STAR_ANTARES	qalb al-‘aqrab	a+q+r	1	1
M1_005	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_IUPITER	iovis;jovis	i+u;i+u	1	1
M1_005	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_VENUS	lucifer	l+c+f	1	1
M1_005	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_LUNA	luna;lunae	l+n;l+n	1	1
M1_005	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_VEGA	al-wāki‘	w+k	1	1
M1_005	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_ALTAIR	al-tair	t+r	1	1
M1_005	TRAIN	f68r1.S.9	STAR	f68r1	ofcheor	STAR_CAPH	kaff al-khadīb	kh+d+b	1	1
M1_005	TRAIN	f68r2.S.1	STAR	f68r2	cheorol	STAR_ALDEBARAN	al-dabarān	d+b+r	1	1
M1_005	TRAIN	f68r2.S.20	STAR	f68r2	opocphor	STAR_PROCYON	al-sha‘āmiya	sh+m+y	1	1
M1_005	TRAIN	f68r2.S.21	STAR	f68r2	otoshol	STAR_ANTARES	qalb al-‘aqrab	a+q+r	1	1
M1_005	TRAIN	f68r3.X.11	STAR	f68r3	okchody	STAR_BETELGEUSE	yad al-jawzā	i+w+z	1	1
M1_005	TRAIN	f68r3.X.11	STAR	f68r3	okchody	STAR_RIGEL	rijl al-jawzā	i+w+z	0	1
M1_006	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_IUPITER	iovis;jovis	i+v;j+v	1	1
M1_006	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_VENUS	lucifer	l+c+f	1	1
M1_006	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_LUNA	luna;lunae	l+n;l+n	1	1
M1_006	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_VEGA	al-wāki‘	w+k	1	1
M1_006	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_ALTAIR	al-tair	t+r	1	1
M1_006	TRAIN	f68r1.S.9	STAR	f68r1	ofcheor	STAR_CAPH	kaff al-khadīb	kh+d+b	1	1
M1_006	TRAIN	f68r2.S.1	STAR	f68r2	cheorol	STAR_ALDEBARAN	al-dabarān	d+b+r	1	1
M1_006	TRAIN	f68r2.S.20	STAR	f68r2	opocphor	STAR_PROCYON	al-sha‘āmiya	sh+m+y	1	1
M1_006	TRAIN	f68r2.S.21	STAR	f68r2	otoshol	STAR_ANTARES	qalb al-‘aqrab	a+q+r	1	1
M1_006	TRAIN	f68r3.X.11	STAR	f68r3	okchody	STAR_BETELGEUSE	yad al-jawzā	j+w+z	1	1
M1_006	TRAIN	f68r3.X.11	STAR	f68r3	okchody	STAR_RIGEL	rijl al-jawzā	j+w+z	0	1
M1_007	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_VENUS	lucifer	l+c+f+r	1	1
M1_007	TRAIN	f67r2.L.3	PLANET_MOON	f67r2	opcholdy	PLANET_SATURNUS	saturni;saturnus	s+t+r+n;s+t+r+n	1	1
M1_007	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_007	TRAIN	f68r1.S.19	STAR	f68r1	otochedy	STAR_ALDEBARAN	al-dabarān	a+l+d+b	1	1
M1_007	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_ARCTURUS	al-rāmih	a+l+r	1	1
M1_007	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_SIRIUS	al-yamāniya	a+l+m	1	1
M1_007	TRAIN	f68r1.S.26	STAR	f68r1	otys	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_007	TRAIN	f68r2.S.15	STAR	f68r2	otoeeo	STAR_VEGA	al-wāki‘	a+l+k	1	1
M1_007	TRAIN	f68r2.S.16	STAR	f68r2	ofcheody	STAR_BETELGEUSE	yad al-jawzā	y+d+l+z	1	1
M1_008	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_VENUS	lucifer	l+c+f+r	1	1
M1_008	TRAIN	f67r2.L.3	PLANET_MOON	f67r2	opcholdy	PLANET_SATURNUS	saturni;saturnus	s+t+r+n;s+t+r+n	1	1
M1_008	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_008	TRAIN	f68r1.S.19	STAR	f68r1	otochedy	STAR_ALDEBARAN	al-dabarān	a+l+d+b	1	1
M1_008	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_ARCTURUS	al-rāmih	a+l+r	1	1
M1_008	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_VEGA	al-wāki‘	a+l+k	1	1
M1_008	TRAIN	f68r1.S.26	STAR	f68r1	otys	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_008	TRAIN	f68r2.S.15	STAR	f68r2	otoeeo	STAR_SIRIUS	al-yamāniya	a+l+m	1	1
M1_008	TRAIN	f68r2.S.16	STAR	f68r2	ofcheody	STAR_BETELGEUSE	yad al-jawzā	y+d+l+z	1	1
M1_009	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_VENUS	lucifer	l+c+f+r	1	1
M1_009	TRAIN	f67r2.L.3	PLANET_MOON	f67r2	opcholdy	PLANET_SATURNUS	saturni;saturnus	s+t+r+n;s+t+r+n	1	1
M1_009	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_009	TRAIN	f68r1.S.19	STAR	f68r1	otochedy	STAR_ALDEBARAN	al-dabarān	a+l+d+b	1	1
M1_009	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_ARCTURUS	al-rāmih	a+l+r	1	1
M1_009	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_SIRIUS	al-yamāniya	a+l+m	1	1
M1_009	TRAIN	f68r1.S.26	STAR	f68r1	otys	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_009	TRAIN	f68r2.S.15	STAR	f68r2	otoeeo	STAR_VEGA	al-wāki‘	a+l+k	1	1
M1_009	TRAIN	f68r2.S.16	STAR	f68r2	ofcheody	STAR_BETELGEUSE	yad al-jawzā	y+d+l+z	1	1
M1_010	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_VENUS	lucifer	l+c+f+r	1	1
M1_010	TRAIN	f67r2.L.3	PLANET_MOON	f67r2	opcholdy	PLANET_SATURNUS	saturni;saturnus	s+t+r+n;s+t+r+n	1	1
M1_010	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_010	TRAIN	f68r1.S.19	STAR	f68r1	otochedy	STAR_ALDEBARAN	al-dabarān	a+l+d+b	1	1
M1_010	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_ARCTURUS	al-rāmih	a+l+r	1	1
M1_010	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_VEGA	al-wāki‘	a+l+k	1	1
M1_010	TRAIN	f68r1.S.26	STAR	f68r1	otys	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_010	TRAIN	f68r2.S.15	STAR	f68r2	otoeeo	STAR_SIRIUS	al-yamāniya	a+l+m	1	1
M1_010	TRAIN	f68r2.S.16	STAR	f68r2	ofcheody	STAR_BETELGEUSE	yad al-jawzā	y+d+l+z	1	1
M1_011	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_VENUS	lucifer	l+c+f	1	1
M1_011	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_LUNA	luna;lunae	l+n;l+n	1	1
M1_011	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_RASALHAGUE	r’as al-hawwā	h+u	1	1
M1_011	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_ALTAIR	al-tair	t+r	1	1
M1_011	TRAIN	f68r1.S.24	STAR	f68r1	otydy	STAR_SPICA	al-a‘zal	a+z+l	1	1
M1_011	TRAIN	f68r1.S.9	STAR	f68r1	ofcheor	STAR_DENEB_ALGEDI	dhanab al-jady	i+d+y	1	1
M1_011	TRAIN	f68r2.S.1	STAR	f68r2	cheorol	STAR_ALDEBARAN	al-dabarān	d+b+r	1	1
M1_011	TRAIN	f68r2.S.20	STAR	f68r2	opocphor	STAR_PROCYON	al-sha‘āmiya	s+m+y	1	1
M1_011	TRAIN	f68r2.S.21	STAR	f68r2	otoshol	STAR_ANTARES	qalb al-‘aqrab	a+q+r	1	1
M1_012	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_IUPITER	iovis;jovis	i+u;i+u	1	1
M1_012	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_SOL	sol;solis	s+l;s+l	1	1
M1_012	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_VEGA	al-wāki‘	w+k	1	1
M1_012	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_ALTAIR	al-tair	t+r	1	1
M1_012	TRAIN	f68r1.S.9	STAR	f68r1	ofcheor	STAR_CAPH	kaff al-khadīb	kh+d+b	1	1
M1_012	TRAIN	f68r2.S.1	STAR	f68r2	cheorol	STAR_ALDEBARAN	al-dabarān	d+b+r	1	1
M1_012	TRAIN	f68r2.S.20	STAR	f68r2	opocphor	STAR_SIRIUS	al-yamāniya	y+m+n	1	1
M1_012	TRAIN	f68r2.S.21	STAR	f68r2	otoshol	STAR_ANTARES	qalb al-‘aqrab	a+q+r	1	1
M1_012	TRAIN	f68r3.X.11	STAR	f68r3	okchody	STAR_BETELGEUSE	yad al-jawzā	i+w+z	1	1
M1_012	TRAIN	f68r3.X.11	STAR	f68r3	okchody	STAR_RIGEL	rijl al-jawzā	i+w+z	0	1
M1_013	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_MARS	mars	m+r+s	1	1
M1_013	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_VENUS	lucifer	l+c+f	1	1
M1_013	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_013	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_BETELGEUSE	yad al-jawzā	y+d+l	1	1
M1_013	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_013	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_MARKAB	mankib	m+n+k	1	1
M1_013	TRAIN	f68r1.S.24	STAR	f68r1	otydy	STAR_ALTAIR	al-tair	a+l+t	1	1
M1_013	TRAIN	f68r1.S.26	STAR	f68r1	otys	STAR_SPICA	al-a‘zal	a+l+z	1	1
M1_014	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_MARS	mars	m+r+s	1	1
M1_014	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_VENUS	lucifer	l+c+f	1	1
M1_014	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_014	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_BETELGEUSE	yad al-jawzā	y+d+l	1	1
M1_014	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_014	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_MARKAB	mankib	m+n+k	1	1
M1_014	TRAIN	f68r1.S.24	STAR	f68r1	otydy	STAR_SPICA	al-a‘zal	a+l+z	1	1
M1_014	TRAIN	f68r1.S.26	STAR	f68r1	otys	STAR_ALTAIR	al-tair	a+l+t	1	1
M1_015	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_MARS	mars	m+r+s	1	1
M1_015	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_VENUS	lucifer	l+c+f	1	1
M1_015	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_015	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_BETELGEUSE	yad al-jawzā	y+d+l	1	1
M1_015	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_015	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_MARKAB	mankib	m+n+k	1	1
M1_015	TRAIN	f68r1.S.24	STAR	f68r1	otydy	STAR_ALTAIR	al-tair	a+l+t	1	1
M1_015	TRAIN	f68r1.S.26	STAR	f68r1	otys	STAR_SPICA	al-a‘zal	a+l+z	1	1
M1_016	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_MARS	mars	m+r+s	1	1
M1_016	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_VENUS	lucifer	l+c+f	1	1
M1_016	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_016	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_BETELGEUSE	yad al-jawzā	y+d+l	1	1
M1_016	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_016	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_MARKAB	mankib	m+n+k	1	1
M1_016	TRAIN	f68r1.S.24	STAR	f68r1	otydy	STAR_SPICA	al-a‘zal	a+l+z	1	1
M1_016	TRAIN	f68r1.S.26	STAR	f68r1	otys	STAR_ALTAIR	al-tair	a+l+t	1	1
M1_017	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_SOL	sol;solis	s+o+l;s+o+l	1	1
M1_017	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_VENUS	veneris;venus	v+e+n;v+e+n	1	1
M1_017	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_VEGA	al-wāki‘	u+a+k	1	1
M1_017	TRAIN	f68r1.S.19	STAR	f68r1	otochedy	STAR_ALTAIR	al-tair	t+a+i+r	1	1
M1_017	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_SPICA	al-a‘zal	a+z+a+l	1	1
M1_017	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_CAPH	kaff al-khadīb	h+a+d	1	1
M1_017	TRAIN	f68r1.S.24	STAR	f68r1	otydy	STAR_ANTARES	qalb al-‘aqrab	a+q+r	1	1
M1_017	TRAIN	f68r2.S.1	STAR	f68r2	cheorol	STAR_DENEB_ALGEDI	dhanab al-jady	i+a+d+y	1	1
M1_018	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_018	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_SATURNUS	saturni;saturnus	s+t+r+n;s+t+r+n	1	1
M1_018	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_SOL	sol;solis	s+l;s+l	1	1
M1_018	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_018	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_DENEB	ridf	r+d+f	1	1
M1_018	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_BETELGEUSE	yad al-jawzā	y+d+z	1	1
M1_018	TRAIN	f68r1.S.24	STAR	f68r1	otydy	STAR_ARCTURUS	al-rāmih	r+m+h	1	1
M1_018	TRAIN	f68r1.S.26	STAR	f68r1	otys	STAR_VEGA	al-wāki‘	u+k	1	1
M1_019	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_019	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_SATURNUS	saturni;saturnus	s+t+r+n;s+t+r+n	1	1
M1_019	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_SOL	sol;solis	s+l;s+l	1	1
M1_019	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_019	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_DENEB	ridf	r+d+f	1	1
M1_019	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_BETELGEUSE	yad al-jawzā	y+d+z	1	1
M1_019	TRAIN	f68r1.S.26	STAR	f68r1	otys	STAR_VEGA	al-wāki‘	u+k	1	1
M1_019	TRAIN	f68r2.S.18	STAR	f68r2	odair	STAR_ARCTURUS	al-rāmih	r+m+h	1	1
M1_020	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_020	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_SATURNUS	saturni;saturnus	s+t+r+n;s+t+r+n	1	1
M1_020	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_SOL	sol;solis	s+l;s+l	1	1
M1_020	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_020	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_DENEB	ridf	r+d+f	1	1
M1_020	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_BETELGEUSE	yad al-jawzā	y+d+z	1	1
M1_020	TRAIN	f68r1.S.26	STAR	f68r1	otys	STAR_VEGA	al-wāki‘	u+k	1	1
M1_020	TRAIN	f68r2.S.8	STAR	f68r2	okchor	STAR_ARCTURUS	al-rāmih	r+m+h	1	1
M1_021	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_021	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_SATURNUS	saturni;saturnus	s+t+r+n;s+t+r+n	1	1
M1_021	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_SOL	sol;solis	s+l;s+l	1	1
M1_021	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_021	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_DENEB	ridf	r+d+f	1	1
M1_021	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_VEGA	al-wāki‘	u+k	1	1
M1_021	TRAIN	f68r1.S.26	STAR	f68r1	otys	STAR_ARCTURUS	al-rāmih	r+m+h	1	1
M1_021	TRAIN	f68r2.S.15	STAR	f68r2	otoeeo	STAR_BETELGEUSE	yad al-jawzā	y+d+z	1	1
M1_022	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_SOL	sol;solis	s+o+l;s+o+l	1	1
M1_022	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_VENUS	veneris;venus	u+e+n;u+e+n	1	1
M1_022	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_VEGA	al-wāki‘	w+a+k	1	1
M1_022	TRAIN	f68r1.S.19	STAR	f68r1	otochedy	STAR_ALTAIR	al-tair	t+a+i+r	1	1
M1_022	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_SPICA	al-a‘zal	a+z+a+l	1	1
M1_022	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_CAPH	kaff al-khadīb	kh+a+d	1	1
M1_022	TRAIN	f68r1.S.24	STAR	f68r1	otydy	STAR_ANTARES	qalb al-‘aqrab	a+q+r	1	1
M1_022	TRAIN	f68r2.S.1	STAR	f68r2	cheorol	STAR_DENEB_ALGEDI	dhanab al-jady	i+a+d+y	1	1
M1_023	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_IUPITER	iovis;jovis	i+s;i+s	1	1
M1_023	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_LUNA	lunae	l+n+e	1	1
M1_023	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_VENUS	lucifer	l+c+f	1	1
M1_023	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_023	TRAIN	f68r1.S.19	STAR	f68r1	otochedy	STAR_DENEB_ALGEDI	dhanab al-jady	dh+n+b+d	1	1
M1_023	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_ARCTURUS	al-rāmih	r+m+h	1	1
M1_023	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_MARKAB	mankib	m+n+k	1	1
M1_023	TRAIN	f68r1.S.24	STAR	f68r1	otydy	STAR_RIGEL	rijl al-jawzā	r+l+w+z	1	1
M1_024	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_IUPITER	iovis;jovis	i+s;i+s	1	1
M1_024	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_LUNA	lunae	l+n+e	1	1
M1_024	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_VENUS	lucifer	l+c+f	1	1
M1_024	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_CAPELLA	‘ayyūq	a+q	1	1
M1_024	TRAIN	f68r1.S.19	STAR	f68r1	otochedy	STAR_DENEB_ALGEDI	dhanab al-jady	dh+n+b+d	1	1
M1_024	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_MARKAB	mankib	m+n+k	1	1
M1_024	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_ARCTURUS	al-rāmih	r+m+h	1	1
M1_024	TRAIN	f68r1.S.24	STAR	f68r1	otydy	STAR_RIGEL	rijl al-jawzā	r+l+w+z	1	1
M1_025	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_SOL	sol;solis	s+o+l;s+o+l	1	1
M1_025	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_VENUS	veneris;venus	v+e+n;v+e+n	1	1
