metric_id	family	classification	held_out_applicability_status	generation_validation_status	min_g_level	skeleton_only	reason
LC1_LOCUS_TYPE_NMI	locus	CORE	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Needs documented locus type (G3 variable); generated TOKEN length-class is model-chosen, so it discriminates
LC2_LABEL_TEXT_NMI	locus	CORE	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Needs locus label/text distinction conditional on folio (G3 variables); generated TOKEN length-class is model-chosen, so it discriminates
LC5_IVTFF_I_NMI	locus	SUPPORTING	NOT_APPLICABLE	NOT_APPLICABLE	G3	FALSE	VOYNICH_ONLY_CONTEXT per the frozen F2 registry; not fairly attributable to any generative model
LC5_IVTFF_X_NMI	locus	SUPPORTING	NOT_APPLICABLE	NOT_APPLICABLE	G3	FALSE	VOYNICH_ONLY_CONTEXT per the frozen F2 registry; not fairly attributable to any generative model
LP1_RULE_SUPPORT_GINI	lexical paradigm	SUPPORTING	DIRECTLY_APPLICABLE_TO_G1	GENERATION_APPLICABLE	G1	FALSE	Computed from the generated vocabulary's edit-rule support; no context or hierarchy needed
LP4_PREFIX_ATTACHMENT_NMI	lexical paradigm	SUPPORTING	DIRECTLY_APPLICABLE_TO_G1	GENERATION_APPLICABLE	G1	FALSE	Computed from the generated vocabulary's attachment structure; no context or hierarchy needed
LP4_SUFFIX_ATTACHMENT_NMI	lexical paradigm	SUPPORTING	DIRECTLY_APPLICABLE_TO_G1	GENERATION_APPLICABLE	G1	FALSE	As LP4_PREFIX_ATTACHMENT_NMI
LS1_LINE_LENGTH_CV	line	SUPPORTING	DIRECTLY_APPLICABLE_TO_G3	STRUCTURE_REQUIRED	G3	TRUE	Pure LINE-length (token-count) statistic; skeleton-only under the borrowed-skeleton convention, same reasoning as HR1_*. Excluded from PRIMARY generation-validation evidence
LS2_POSITIONAL_LEXICON_NMI	line	CORE	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Needs line-position class (G3 variable); generated TOKEN identity is model-chosen, so it discriminates
LS3_BOUNDARY_LENGTH_ASYMMETRY	line	CORE	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Needs first/final-token-of-line identification (G3 variable); generated TOKEN length is model-chosen, so it discriminates
LS4_WITHIN_LINE_EXACT_REPETITION	line	SUPPORTING	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Frozen definition requires LINE boundaries (ASSEMBLER_LINES per the task82a1 precedent); generated TOKEN identity is model-chosen, so it discriminates
PF2_FOLIO_COHERENCE	folio	CORE	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Line-profile distance is built from generated TOKEN/vocabulary content aggregated per folio, not from line-length alone, so it discriminates
PF3_ADJACENT_FOLIO_CONTINUITY	folio	SUPPORTING	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Adjacent-folio vocabulary-profile similarity is TOKEN-identity dependent, so it discriminates
PF4_RECTO_VERSO_COHERENCE	folio	SUPPORTING	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Recto/verso profile similarity is TOKEN-identity dependent, so it discriminates
PF5_WITHIN_FOLIO_PROGRESSION	folio	CORE	DIRECTLY_APPLICABLE_TO_G3	STRUCTURE_REQUIRED	G3	TRUE	Correlates local line order with LINE LENGTH: both axes are skeleton-only under the borrowed-skeleton convention. Excluded from PRIMARY generation-validation evidence
cs1/family-line-position	cross-scale	SUPPORTING	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Edit-family label depends on generated TOKEN identity; line position is a G3 variable; discriminates
cs2/prev-family-current-family	cross-scale	SUPPORTING	DIRECTLY_APPLICABLE_TO_G2	GENERATION_APPLICABLE	G2	FALSE	Needs only TOKEN adjacency (previous-token family), no manuscript hierarchy; the sole frozen F2 metric whose natural home is G2, not G1 or G3 (flagged for Task87 in TASK86_HANDOFF.md forward note: the frozen CORE/SUPPORTING battery is otherwise thin at G2)
cs3/family-locus-type	cross-scale	SUPPORTING	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Needs locus type (G3 variable); family label is TOKEN-identity dependent; discriminates
cs4/family-currier	cross-scale	SUPPORTING	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Needs Currier language (G3 variable); family label is TOKEN-identity dependent; discriminates
cs4/family-section	cross-scale	SUPPORTING	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Needs section (G3 variable); family label is TOKEN-identity dependent; discriminates
cs5/local-adjacency-x-regime	cross-scale	SUPPORTING	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Needs local-regime metadata (G3 variable); same-family adjacency depends on generated TOKEN identity; discriminates
cs6/family-diversity-x-line-length	cross-scale	SUPPORTING	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Line length is skeleton-fixed, but per-line family-composition entropy depends on generated TOKEN identity, so the metric still discriminates
cs7/edit-distance-x-structural-distance	cross-scale	SUPPORTING	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Edit distance depends on the generated vocabulary's identity; structural (line) distance is skeleton-fixed but used only as the independent axis, so the metric still discriminates
