metric_id	family	redundancy_class	folio_half_stability	parameter_sensitivity	transcription_stability	bootstrap_stability	final_stability_status
PF4_RECTO_VERSO_COHERENCE	folio	SUPPORTING	ROBUST_WITH_LIMITATIONS	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	NOT_IN_SCOPE (SUPPORTING metric; not in Task79c CORE cross-transcription battery; see PF4_LEAF_NULL.md for its own re-validation)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
PF5_WITHIN_FOLIO_PROGRESSION	folio	CORE	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	DIRECTION_STABLE	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	STABLE
cs1/family-line-position	cross-scale	SUPPORTING	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
cs2/prev-family-current-family	cross-scale	SUPPORTING	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
cs3/family-locus-type	cross-scale	SUPPORTING	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
cs4/family-currier	cross-scale	SUPPORTING	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
cs4/family-section	cross-scale	SUPPORTING	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
cs5/local-adjacency-x-regime	cross-scale	SUPPORTING	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
cs6/family-diversity-x-line-length	cross-scale	SUPPORTING	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
cs7/edit-distance-x-structural-distance	cross-scale	SUPPORTING	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
