candidate_id	representation_id	checkpoint	family	status	comparable_metric_count	mean_distance	reason
C02	LATIN-DIPLOMATIC	10000	S	COMPARABLE	20	19.4782822115	
C02	LATIN-DIPLOMATIC	10000	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	10000	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	20000	G	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	20000	T	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	20000	S	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	20000	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	20000	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	39380	G	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	39380	T	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	39380	S	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	39380	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	39380	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R1	5000	G	COMPARABLE	5	4.26033708016	
C06	MUSIC-R1	5000	T	COMPARABLE	10	72.3234647022	
C06	MUSIC-R1	5000	S	COMPARABLE	20	8.49815671929	
C06	MUSIC-R1	5000	L	COMPARABLE	13	19.2850755147	
C06	MUSIC-R1	5000	D	COMPARABLE	4	120.326275813	
C06	MUSIC-R1	10000	G	COMPARABLE	5	6.10289597431	
C06	MUSIC-R1	10000	T	COMPARABLE	10	132.404495952	
C06	MUSIC-R1	10000	S	COMPARABLE	20	8.59901343835	
C06	MUSIC-R1	10000	L	COMPARABLE	13	27.0739359444	
C06	MUSIC-R1	10000	D	COMPARABLE	4	143.38174551	
C06	MUSIC-R1	20000	G	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R1	20000	T	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R1	20000	S	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R1	20000	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R1	20000	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R1	39380	G	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R1	39380	T	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R1	39380	S	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R1	39380	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R1	39380	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R2	5000	G	COMPARABLE	5	16.0616963563	
C06	MUSIC-R2	5000	T	COMPARABLE	10	1866.48952239	
C06	MUSIC-R2	5000	S	COMPARABLE	20	165.671128909	
C06	MUSIC-R2	5000	L	COMPARABLE	13	67.8723490851	
C06	MUSIC-R2	5000	D	COMPARABLE	4	269.422342746	
C06	MUSIC-R2	10000	G	COMPARABLE	5	23.5719785926	
C06	MUSIC-R2	10000	T	COMPARABLE	10	3639.76405622	
C06	MUSIC-R2	10000	S	COMPARABLE	20	114.294176053	
C06	MUSIC-R2	10000	L	COMPARABLE	13	55.3339519111	
C06	MUSIC-R2	10000	D	COMPARABLE	4	320.817983243	
C06	MUSIC-R2	20000	G	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R2	20000	T	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R2	20000	S	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R2	20000	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R2	20000	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R2	39380	G	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R2	39380	T	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R2	39380	S	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R2	39380	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R2	39380	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R3	5000	G	COMPARABLE	5	15.3299012923	
C06	MUSIC-R3	5000	T	COMPARABLE	10	228.838539301	
C06	MUSIC-R3	5000	S	COMPARABLE	20	22.3460658064	
C06	MUSIC-R3	5000	L	COMPARABLE	13	21.538103467	
C06	MUSIC-R3	5000	D	COMPARABLE	4	145.312352727	
C06	MUSIC-R3	10000	G	COMPARABLE	5	21.2931121748	
C06	MUSIC-R3	10000	T	COMPARABLE	10	445.470663543	
C06	MUSIC-R3	10000	S	COMPARABLE	20	19.7779551644	
C06	MUSIC-R3	10000	L	COMPARABLE	13	22.8527272185	
C06	MUSIC-R3	10000	D	COMPARABLE	4	173.804484635	
C06	MUSIC-R3	20000	G	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R3	20000	T	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R3	20000	S	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R3	20000	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R3	20000	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R3	39380	G	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R3	39380	T	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R3	39380	S	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R3	39380	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C06	MUSIC-R3	39380	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
