record_id	section	panel	stolfi_group	stolfi_number	stolfi_coordinate	transcriber	stolfi_eva	stolfi_alt_eva	label_class	object_type	comment	match_status	match_method	validated_ivtff_locus_type	raw_lexical_candidate_count	eligible_candidate_count	zl3b_locus	zl3b_locus_type	index_in_locus	absolute_token_positions	zl3b_eva_tokens	eligible_candidates
0121	astro	f67r2	L	3	f67r2.L.3	Z	opcholdy	-	A	planet?	moon 4, light coloured; Mercury?	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.31	L	0	12097	opcholdy	f67r2.31:0:opcholdy:L
0122	astro	f67r2	L	4	f67r2.L.4	V	ofar.oeoldan	-	A	planet?	moon 5, light coloured; the Moon?	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.34	L	0	12105,12106	ofar oeoldan	f67r2.34:0:ofar oeoldan:L
0123	astro	f67r2	L	4	f67r2.L.4	Z	ofar.oeoldain	-	A	planet?	moon 5, light coloured; the Moon?	MATCHED	COORDINATE_PEER_CONSENSUS	L	0	0	f67r2.34	L	0	12105,12106	ofar oeoldan	
0124	astro	f67r2	L	5	f67r2.L.5	V	ytoaiin	-	A	planet?	moon 6, dark coloured; Saturn?	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.37	L	0	12113	ytoaiin	f67r2.37:0:ytoaiin:L
0125	astro	f67r2	L	5	f67r2.L.5	Z	ytoaiin	-	A	planet?	moon 6, dark coloured; Saturn?	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.37	L	0	12113	ytoaiin	f67r2.37:0:ytoaiin:L
0126	astro	f67r2	L	6	f67r2.L.6	V	yfain	-	A	planet?	moon 9, dark coloured; Jupiter?	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.47	L	0	12139	yfain	f67r2.47:0:yfain:L
0127	astro	f67r2	L	6	f67r2.L.6	Z	yfain	-	A	planet?	moon 9, dark coloured; Jupiter?	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.47	L	0	12139	yfain	f67r2.47:0:yfain:L
0128	astro	f67r2	L	7	f67r2.L.7	V	dalchsody	-	A	planet?	moon 11, dark coloured; Mars?	MATCHED	COORDINATE_PEER_CONSENSUS	L	0	0	f67r2.15	L	0	12057	dolchsody	
0129	astro	f67r2	L	7	f67r2.L.7	Z	dolchsody	-	A	planet?	moon 11, dark coloured; Mars?	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.15	L	0	12057	dolchsody	f67r2.15:0:dolchsody:L
0130	astro	f67r2	X	1	f67r2.X.1	V	ysaldal	-	A	?	below moon 1	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0131	astro	f67r2	X	2	f67r2.X.2	V	ytodal	-	A	?	below moon 2, no label above	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.55	L	0	12153	ytodal	f67r2.55:0:ytodal:L
0132	astro	f67r2	X	3	f67r2.X.3	V	tol.daiin	tol.Gaiin	A	?	below moon 3	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.56	L	0	12154,12155	tol daiin	f67r2.56:0:tol daiin:L
0133	astro	f67r2	X	4	f67r2.X.4	V	otardy	otabdy	A	?	below moon 4	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0134	astro	f67r2	X	5	f67r2.X.5	V	chodalg	choGalg	A	?	below moon 5	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0135	astro	f67r2	X	6	f67r2.X.6	V	ytchodly	-	A	?	below moon 6	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.59	L	0	12161	ytchodly	f67r2.59:0:ytchodly:L
0136	astro	f67r2	X	7	f67r2.X.7	V	ockhys	ocKhys	A	?	below moon 7, no label above	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0137	astro	f67r2	X	8	f67r2.X.8	V	ytokar	-	A	?	below moon 8, no label above	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.61	L	0	12163	ytokar	f67r2.61:0:ytokar:L
0138	astro	f67r2	X	9	f67r2.X.9	V	otolor	otolob	A	?	below moon 9	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.62	L	0	12164	otolor	f67r2.62:0:otolor:L
0139	astro	f67r2	X	10	f67r2.X.10	V	okadar	okaGar	A	?	below moon 10, no label above	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0140	astro	f67r2	X	11	f67r2.X.11	V	qotoear	qotoeab	A	?	below moon 11	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.52	L	0	12149	qotoear	f67r2.52:0:qotoear:L
0141	astro	f67r2	X	12	f67r2.X.12	V	dchodar	dchoGab	A	?	below moon 12, no label above	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0161	astro	f67v1	X	1	f67v1.X.1	V	damaiim*	-	A	?	-	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0162	astro	f67v1	X	2	f67v1.X.2	V	darichkalal	Garichkalal	A	?	-	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0163	astro	f67v1	X	3	f67v1.X.3	V	dcheoekal	-	A	?	-	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0164	astro	f67v1	X	4	f67v1.X.4	V	dchodar*	dchodab*	A	?	-	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0165	astro	f67v1	X	5	f67v1.X.5	V	kochardy	kochabdy	A	?	-	MATCHED	UNIQUE_EXACT	L	1	1	f67v1.10	L	0	12288	kochardy	f67v1.10:0:kochardy:L
0166	astro	f67v1	X	6	f67v1.X.6	V	ockheo.sam	ocKheo.sam	A	?	-	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0167	astro	f67v1	X	7	f67v1.X.7	V	okal.ary	okal.aby	A	?	-	MATCHED	UNIQUE_EXACT	L	1	1	f67v1.3	L	0	12278,12279	okal ary	f67v1.3:0:okal ary:L
0168	astro	f67v1	X	8	f67v1.X.8	V	okolaldy	okolalGy	A	?	-	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0169	astro	f67v1	X	9	f67v1.X.9	V	ols.aiiny	-	A	?	-	MATCHED	UNIQUE_EXACT	L	1	1	f67v1.12	L	0	12290,12291	ols aiiny	f67v1.12:0:ols aiiny:L
0170	astro	f67v1	X	10	f67v1.X.10	V	ykeodar	ykeodab	A	star	-	MATCHED	UNIQUE_EXACT	L	1	1	f67v1.7	L	0	12285	ykeodar	f67v1.7:0:ykeodar:L
0171	astro	f68r1	S	1	f68r1.S.1	V	chocfhy	chocFhy	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.12	L	0	12384	chocfhy	f68r1.12:0:chocfhy:L
0172	astro	f68r1	S	2	f68r1.S.2	V	cphocthy	cPhocThy	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.17	L	0	12389	cphocthy	f68r1.17:0:cphocthy:L
0173	astro	f68r1	S	3	f68r1.S.3	V	dolchedy	-	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.36	L	0	12411	dolchedy	f68r1.36:0:dolchedy:L
0174	astro	f68r1	S	4	f68r1.S.4	V	ockhy	ocKhy	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.21	L	0	12393	ockhy	f68r1.21:0:ockhy:L
0175	astro	f68r1	S	5	f68r1.S.5	V	ocphy	ocPhy	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.31	L	0	12406	ocphy	f68r1.31:0:ocphy:L
0176	astro	f68r1	S	6	f68r1.S.6	V	octhey	ocThey	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.13	L	0	12385	octhey	f68r1.13:0:octhey:L
0177	astro	f68r1	S	7	f68r1.S.7	V	odchEody	-	A	star	29 stars	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0178	astro	f68r1	S	8	f68r1.S.8	V	odchecthy	odchecThy	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.9	L	0	12381	odchecthy	f68r1.9:0:odchecthy:L
0179	astro	f68r1	S	9	f68r1.S.9	V	ofcheor	ofcheob	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.22	L	0	12394	ofcheor	f68r1.22:0:ofcheor:L
0180	astro	f68r1	S	10	f68r1.S.10	V	oiinar	-	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.27	L	0	12399	oiinar	f68r1.27:0:oiinar:L
0181	astro	f68r1	S	11	f68r1.S.11	V	okear	-	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.16	L	0	12388	okear	f68r1.16:0:okear:L
0182	astro	f68r1	S	12	f68r1.S.12	V	okeeodal	-	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.32	L	0	12407	okeeodal	f68r1.32:0:okeeodal:L
0183	astro	f68r1	S	13	f68r1.S.13	V	okoaly	-	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.11	L	0	12383	okoaly	f68r1.11:0:okoaly:L
0184	astro	f68r1	S	14	f68r1.S.14	V	okoldy	-	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.28	L	0	12400	okoldy	f68r1.28:0:okoldy:L
0185	astro	f68r1	S	15	f68r1.S.15	V	okshor	okUhob	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.33	L	0	12408	okshor	f68r1.33:0:okshor:L
0186	astro	f68r1	S	16	f68r1.S.16	V	olor	olob	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.20	L	0	12392	olor	f68r1.20:0:olor:L
0187	astro	f68r1	S	17	f68r1.S.17	V	or.daiin	-	A	star	29 stars	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0188	astro	f68r1	S	18	f68r1.S.18	V	otchdo	-	A	star	29 stars	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0189	astro	f68r1	S	19	f68r1.S.19	V	otochedy	-	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.35	L	0	12410	otochedy	f68r1.35:0:otochedy:L
0190	astro	f68r1	S	20	f68r1.S.20	V	otodaly	-	A	star	29 stars	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0191	astro	f68r1	S	21	f68r1.S.21	V	otol	-	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.25	L	0	12397	otol	f68r1.25:0:otol:L
0192	astro	f68r1	S	22	f68r1.S.22	V	otor	otob	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	2	1	f68r1.26	L	0	12398	otor	f68r1.26:0:otor:L
0193	astro	f68r1	S	23	f68r1.S.23	V	otshey	otUhey	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.14	L	0	12386	otshey	f68r1.14:0:otshey:L
0194	astro	f68r1	S	24	f68r1.S.24	V	otydy	-	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.15	L	0	12387	otydy	f68r1.15:0:otydy:L
0195	astro	f68r1	S	25	f68r1.S.25	V	otykchs	-	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.24	L	0	12396	otykchs	f68r1.24:0:otykchs:L
0196	astro	f68r1	S	26	f68r1.S.26	V	otys	-	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.19	L	0	12391	otys	f68r1.19:0:otys:L
0197	astro	f68r1	S	27	f68r1.S.27	V	toeeodchy	-	A	star	29 stars	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0198	astro	f68r1	S	28	f68r1.S.28	V	ykchdy	-	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.29	L	0	12401	ykchdy	f68r1.29:0:ykchdy:L
0199	astro	f68r1	S	29	f68r1.S.29	V	ytchody	-	A	star	29 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r1.18	L	0	12390	ytchody	f68r1.18:0:ytchody:L
0200	astro	f68r2	S	0	f68r2.S.0	R	otolchtey	-	A	star	24 stars	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0201	astro	f68r2	S	0	f68r2.S.0	V	otolchchy	-	A	star	24 stars; gallows lands on 2nd 'ch'	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0202	astro	f68r2	S	1	f68r2.S.1	R	cheorol	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.8	L	0	12468	cheorol	f68r2.8:0:cheorol:L
0203	astro	f68r2	S	1	f68r2.S.1	V	cheo.rol	cheo.bol	A	star	24 stars	MATCHED	COORDINATE_PEER_CONSENSUS	L	0	0	f68r2.8	L	0	12468	cheorol	
0204	astro	f68r2	S	2	f68r2.S.2	R	odaiir	-	A	star	24 stars	MATCHED	COORDINATE_PEER_CONSENSUS	L	0	0	f68r2.9	L	0	12469	odaiin	
0205	astro	f68r2	S	2	f68r2.S.2	V	odaiin	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.9	L	0	12469	odaiin	f68r2.9:0:odaiin:L
0206	astro	f68r2	S	3	f68r2.S.3	R	ochory	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.10	L	0	12470	ochory	f68r2.10:0:ochory:L
0207	astro	f68r2	S	3	f68r2.S.3	V	ochary	-	A	star	24 stars	MATCHED	COORDINATE_PEER_CONSENSUS	L	0	0	f68r2.10	L	0	12470	ochory	
0208	astro	f68r2	S	4	f68r2.S.4	R	shdar	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.11	L	0	12471	shdar	f68r2.11:0:shdar:L
0209	astro	f68r2	S	4	f68r2.S.4	V	shdar	Uhdab	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.11	L	0	12471	shdar	f68r2.11:0:shdar:L
0210	astro	f68r2	S	5	f68r2.S.5	R	dchol	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.12	L	0	12472	dchol	f68r2.12:0:dchol:L
0211	astro	f68r2	S	5	f68r2.S.5	V	dchol	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.12	L	0	12472	dchol	f68r2.12:0:dchol:L
0212	astro	f68r2	S	6	f68r2.S.6	R	eeodaraii*y	-	A	star	24 stars	MATCHED	COORDINATE_PEER_CONSENSUS	L	0	0	f68r2.13	L	0	12473	todaraiily	
0213	astro	f68r2	S	6	f68r2.S.6	V	todaraiily	todabaiily	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.13	L	0	12473	todaraiily	f68r2.13:0:todaraiily:L
0214	astro	f68r2	S	7	f68r2.S.7	R	olcheeeey	-	A	star	24 stars	MATCHED	COORDINATE_PEER_CONSENSUS	L	0	0	f68r2.14	L	0	12474	olcheesey	
0215	astro	f68r2	S	7	f68r2.S.7	V	olcheesey	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.14	L	0	12474	olcheesey	f68r2.14:0:olcheesey:L
0216	astro	f68r2	S	8	f68r2.S.8	R	okchor	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.15	L	0	12475	okchor	f68r2.15:0:okchor:L
0217	astro	f68r2	S	8	f68r2.S.8	V	okchor	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.15	L	0	12475	okchor	f68r2.15:0:okchor:L
0218	astro	f68r2	S	9	f68r2.S.9	R	oteo*l	-	A	star	24 stars	MATCHED	UNIQUE_WILDCARD	L	1	1	f68r2.16	L	0	12476	oteool	f68r2.16:0:oteool:L
0219	astro	f68r2	S	9	f68r2.S.9	V	otoal	-	A	star	24 stars	MATCHED	COORDINATE_PEER_CONSENSUS	L	0	0	f68r2.16	L	0	12476	oteool	
0220	astro	f68r2	S	10	f68r2.S.10	R	oydchy	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.17	L	0	12477	oydchy	f68r2.17:0:oydchy:L
0221	astro	f68r2	S	10	f68r2.S.10	V	oydchy	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.17	L	0	12477	oydchy	f68r2.17:0:oydchy:L
0222	astro	f68r2	S	11	f68r2.S.11	R	chodar	-	A	star	24 stars	MATCHED	COORDINATE_PEER_CONSENSUS	L	1	1	f68r2.19	L	0	12479	cholar	f68r2.28:0:chodar:L
0223	astro	f68r2	S	11	f68r2.S.11	V	cholar	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.19	L	0	12479	cholar	f68r2.19:0:cholar:L
0224	astro	f68r2	S	12	f68r2.S.12	R	okeeeody	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.18	L	0	12478	okeeeody	f68r2.18:0:okeeeody:L
0225	astro	f68r2	S	12	f68r2.S.12	V	okeeeody	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.18	L	0	12478	okeeeody	f68r2.18:0:okeeeody:L
0226	astro	f68r2	S	13	f68r2.S.13	R	dcheoldy	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.20	L	0	12480	dcheoldy	f68r2.20:0:dcheoldy:L
0227	astro	f68r2	S	13	f68r2.S.13	V	dcheoldy	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.20	L	0	12480	dcheoldy	f68r2.20:0:dcheoldy:L
0228	astro	f68r2	S	14	f68r2.S.14	R	oteeeiir	-	A	star	24 stars	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0229	astro	f68r2	S	14	f68r2.S.14	V	oteeeor	oteeeob	A	star	24 stars	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0230	astro	f68r2	S	15	f68r2.S.15	R	otoeeo	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.22	L	0	12482	otoeeo	f68r2.22:0:otoeeo:L
0231	astro	f68r2	S	15	f68r2.S.15	V	otoeeo	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.22	L	0	12482	otoeeo	f68r2.22:0:otoeeo:L
0232	astro	f68r2	S	16	f68r2.S.16	R	ofcheody	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.23	L	0	12483	ofcheody	f68r2.23:0:ofcheody:L
0233	astro	f68r2	S	16	f68r2.S.16	V	ofcheody	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.23	L	0	12483	ofcheody	f68r2.23:0:ofcheody:L
0234	astro	f68r2	S	17	f68r2.S.17	R	otcheodar	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.24	L	0	12484	otcheodar	f68r2.24:0:otcheodar:L
0235	astro	f68r2	S	17	f68r2.S.17	V	otcheodar	otcheodab	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.24	L	0	12484	otcheodar	f68r2.24:0:otcheodar:L
0236	astro	f68r2	S	18	f68r2.S.18	R	odiiir	-	A	star	24 stars	MATCHED	COORDINATE_PEER_CONSENSUS	L	0	0	f68r2.25	L	0	12485	odair	
0237	astro	f68r2	S	18	f68r2.S.18	V	odair	odaib	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.25	L	0	12485	odair	f68r2.25:0:odair:L
0238	astro	f68r2	S	19	f68r2.S.19	R	chol	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.25	L	1	12486	chol	f68r2.25:1:chol:L
0239	astro	f68r2	S	19	f68r2.S.19	V	chol	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.25	L	1	12486	chol	f68r2.25:1:chol:L
0240	astro	f68r2	S	20	f68r2.S.20	R	opocphor	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.26	L	0	12487	opocphor	f68r2.26:0:opocphor:L
0241	astro	f68r2	S	20	f68r2.S.20	V	opocphar	opocPhab	A	star	24 stars	MATCHED	COORDINATE_PEER_CONSENSUS	L	0	0	f68r2.26	L	0	12487	opocphor	
0242	astro	f68r2	S	21	f68r2.S.21	R	otoshos	-	A	star	24 stars	MATCHED	COORDINATE_PEER_CONSENSUS	L	0	0	f68r2.27	L	0	12488	otoshol	
0243	astro	f68r2	S	21	f68r2.S.21	V	otoshol	otoUhol	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.27	L	0	12488	otoshol	f68r2.27:0:otoshol:L
0244	astro	f68r2	S	22	f68r2.S.22	R	chodar	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.28	L	0	12489	chodar	f68r2.28:0:chodar:L
0245	astro	f68r2	S	22	f68r2.S.22	V	chodar	-	A	star	24 stars	MATCHED	UNIQUE_EXACT	L	1	1	f68r2.28	L	0	12489	chodar	f68r2.28:0:chodar:L
0246	astro	f68r2	S	23	f68r2.S.23	R	shchy	-	A	star	24 stars	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0247	astro	f68r2	S	23	f68r2.S.23	V	shchy	Shchy	A	star	24 stars	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
0248	astro	f68r2	S	24	f68r2.S.24	R	okeechor	-	A	star	24 stars	UNMATCHED	NO_LEXICAL_CANDIDATE	L	0	0						
