message	category	natural	scenario	decoded	exact_recovery	char_error_rate	fraction_after_first_error	error_class	detectable	correctable_without_m
HKEXIEHAYLI	random_control	false	deletion_ring_identity_marked	HKEXI?HAYLI	false	0.0909	1.0000	local	false	false
HKEXIEHAYLI	random_control	false	multiple_independent_damages_3	TKEIIEHMYLI	false	0.2727	0.8000	cascading	false	false
HKEXIEHAYLI	random_control	false	orientation_mark_loss	OQLDPLOGERP	false	1.0000	0.0000	global	false	false
HKEXIEHAYLI	random_control	false	outer_contour_loss_2rings	HKEXIEHAYL?	false	0.0909	1.0000	local	false	false
HKEXIEHAYLI	random_control	false	random_ring_shift	HKEXIKHAYLI	false	0.0909	1.0000	local	false	false
HKEXIEHAYLI	random_control	false	single_position_substitution	HKEXIMHAYLI	false	0.0909	1.0000	local	false	false
HKEXIEHAYLI	random_control	false	swap_two_elements	KHEXIEHAYLI	false	0.1818	0.9000	synchronization	false	false
KALENDAE	rare_symbol_k	true	deletion_physical_collapse	KALEDAES	false	0.2500	0.0000	synchronization	true	false
KALENDAE	rare_symbol_k	true	deletion_ring_identity_marked	KALE?DAE	false	0.1250	1.0000	local	true	true
KALENDAE	rare_symbol_k	true	multiple_independent_damages_3	XAYENPAE	false	0.3750	0.7143	cascading	true	false
KALENDAE	rare_symbol_k	true	orientation_mark_loss	QGRLTKGL	false	1.0000	0.0000	global	true	false
KALENDAE	rare_symbol_k	true	outer_contour_loss_2rings	KALENDAE	true	0.0000	1.0000	none	false	true
KALENDAE	rare_symbol_k	true	random_ring_shift	KALESDAE	false	0.1250	1.0000	local	true	true
KALENDAE	rare_symbol_k	true	single_position_substitution	KALEVDAE	false	0.1250	1.0000	local	true	true
KALENDAE	rare_symbol_k	true	swap_two_elements	AKLENDAE	false	0.2500	0.8571	synchronization	true	false
LSQE	random_control	false	deletion_physical_collapse	LSES	false	0.5000	0.0000	synchronization	false	false
LSQE	random_control	false	deletion_ring_identity_marked	LS?E	false	0.2500	1.0000	local	false	false
LSQE	random_control	false	multiple_independent_damages_3	YFDE	false	0.7500	0.3333	cascading	false	false
LSQE	random_control	false	orientation_mark_loss	RAYL	false	1.0000	0.0000	global	false	false
LSQE	random_control	false	outer_contour_loss_2rings	LSQE	true	0.0000	1.0000	none	false	false
LSQE	random_control	false	random_ring_shift	LSXE	false	0.2500	1.0000	local	false	false
LSQE	random_control	false	single_position_substitution	LSZE	false	0.2500	1.0000	local	false	false
LSQE	random_control	false	swap_two_elements	SLQE	false	0.5000	0.6667	synchronization	false	false
MEMORIA	medium_repeat_m	true	deletion_physical_collapse	MEMRIAS	false	0.2857	0.0000	synchronization	true	false
MEMORIA	medium_repeat_m	true	deletion_ring_identity_marked	MEM?RIA	false	0.1429	1.0000	local	true	true
MEMORIA	medium_repeat_m	true	multiple_independent_damages_3	ZEZOEIA	false	0.4286	0.6667	cascading	true	false
MEMORIA	medium_repeat_m	true	orientation_mark_loss	SLSVZPG	false	1.0000	0.0000	global	true	false
MEMORIA	medium_repeat_m	true	outer_contour_loss_2rings	MEMORIA	true	0.0000	1.0000	none	false	true
MEMORIA	medium_repeat_m	true	random_ring_shift	MEMTRIA	false	0.1429	1.0000	local	true	true
MEMORIA	medium_repeat_m	true	single_position_substitution	MEMXRIA	false	0.1429	1.0000	local	true	true
MEMORIA	medium_repeat_m	true	swap_two_elements	EMMORIA	false	0.2857	0.8333	synchronization	true	false
NATVRA	medium_low_repeat	true	deletion_physical_collapse	NATRAS	false	0.3333	0.0000	synchronization	true	false
NATVRA	medium_low_repeat	true	deletion_ring_identity_marked	NAT?RA	false	0.1667	1.0000	local	true	true
NATVRA	medium_low_repeat	true	multiple_independent_damages_3	AAGVEA	false	0.5000	0.6000	cascading	true	false
NATVRA	medium_low_repeat	true	orientation_mark_loss	TGBCZG	false	1.0000	0.0000	global	true	false
NATVRA	medium_low_repeat	true	outer_contour_loss_2rings	NATVRA	true	0.0000	1.0000	none	false	true
NATVRA	medium_low_repeat	true	random_ring_shift	NATBRA	false	0.1667	1.0000	local	true	true
NATVRA	medium_low_repeat	true	single_position_substitution	NATDRA	false	0.1667	1.0000	local	true	true
NATVRA	medium_low_repeat	true	swap_two_elements	ANTVRA	false	0.3333	0.8000	synchronization	true	false
PAX	short_no_repeat	true	deletion_physical_collapse	PXS	false	0.6667	0.0000	synchronization	true	false
PAX	short_no_repeat	true	deletion_ring_identity_marked	P?X	false	0.3333	1.0000	local	true	true
PAX	short_no_repeat	true	orientation_mark_loss	XGD	false	1.0000	0.0000	global	true	false
PAX	short_no_repeat	true	outer_contour_loss_2rings	PAX	true	0.0000	1.0000	none	false	true
PAX	short_no_repeat	true	random_ring_shift	PFX	false	0.3333	1.0000	local	true	true
PAX	short_no_repeat	true	single_position_substitution	PHX	false	0.3333	1.0000	local	true	true
PAX	short_no_repeat	true	swap_two_elements	APX	false	0.6667	0.5000	synchronization	true	false
PCPL	random_control	false	deletion_physical_collapse	PCLS	false	0.5000	0.0000	synchronization	false	false
PCPL	random_control	false	deletion_ring_identity_marked	PC?L	false	0.2500	1.0000	local	false	false
PCPL	random_control	false	multiple_independent_damages_3	COCL	false	0.7500	0.3333	cascading	false	false
PCPL	random_control	false	orientation_mark_loss	XIXR	false	1.0000	0.0000	global	false	false
PCPL	random_control	false	outer_contour_loss_2rings	PCPL	true	0.0000	1.0000	none	false	false
PCPL	random_control	false	random_ring_shift	PCVL	false	0.2500	1.0000	local	false	false
PCPL	random_control	false	single_position_substitution	PCYL	false	0.2500	1.0000	local	false	false
PCPL	random_control	false	swap_two_elements	CPPL	false	0.5000	0.6667	synchronization	false	false
PDCTHH	random_control	false	deletion_physical_collapse	PDCHHS	false	0.3333	0.5000	synchronization	false	false
PDCTHH	random_control	false	deletion_ring_identity_marked	PDC?HH	false	0.1667	1.0000	local	false	false
PDCTHH	random_control	false	multiple_independent_damages_3	CDOTTH	false	0.5000	0.6000	cascading	false	false
PDCTHH	random_control	false	orientation_mark_loss	XKIBOO	false	1.0000	0.0000	global	false	false
PDCTHH	random_control	false	outer_contour_loss_2rings	PDCTHH	true	0.0000	1.0000	none	false	false
PDCTHH	random_control	false	random_ring_shift	PDCAHH	false	0.1667	1.0000	local	false	false
PDCTHH	random_control	false	single_position_substitution	PDCCHH	false	0.1667	1.0000	local	false	false
PDCTHH	random_control	false	swap_two_elements	DPCTHH	false	0.3333	0.8000	synchronization	false	false
PFIGFVK	random_control	false	deletion_physical_collapse	PFIFVKS	false	0.2857	0.0000	synchronization	false	false
PFIGFVK	random_control	false	deletion_ring_identity_marked	PFI?FVK	false	0.1429	1.0000	local	false	false
PFIGFVK	random_control	false	multiple_independent_damages_3	CFVGRVK	false	0.4286	0.6667	cascading	false	false
PFIGFVK	random_control	false	orientation_mark_loss	XMPNMCQ	false	1.0000	0.0000	global	false	false
PFIGFVK	random_control	false	outer_contour_loss_2rings	PFIGFVK	true	0.0000	1.0000	none	false	false
PFIGFVK	random_control	false	random_ring_shift	PFIMFVK	false	0.1429	1.0000	local	false	false
PFIGFVK	random_control	false	single_position_substitution	PFIOFVK	false	0.1429	1.0000	local	false	false
PFIGFVK	random_control	false	swap_two_elements	FPIGFVK	false	0.2857	0.8333	synchronization	false	false
QKCICV	random_control	false	deletion_physical_collapse	QKCCVS	false	0.3333	0.0000	synchronization	false	false
QKCICV	random_control	false	deletion_ring_identity_marked	QKC?CV	false	0.1667	1.0000	local	false	false
QKCICV	random_control	false	multiple_independent_damages_3	DKOIOV	false	0.5000	0.6000	cascading	false	false
QKCICV	random_control	false	orientation_mark_loss	YQIPIC	false	0.6667	0.0000	cascading	false	false
QKCICV	random_control	false	outer_contour_loss_2rings	QKCICV	true	0.0000	1.0000	none	false	false
QKCICV	random_control	false	random_ring_shift	QKCOCV	false	0.1667	1.0000	local	false	false
QKCICV	random_control	false	single_position_substitution	QKCQCV	false	0.1667	1.0000	local	false	false
QKCICV	random_control	false	swap_two_elements	KQCICV	false	0.3333	0.8000	synchronization	false	false
RQGEAOZ	random_control	false	deletion_physical_collapse	RQGAOZS	false	0.2857	0.0000	synchronization	false	false
RQGEAOZ	random_control	false	deletion_ring_identity_marked	RQG?AOZ	false	0.1429	1.0000	local	false	false
RQGEAOZ	random_control	false	multiple_independent_damages_3	EQSEMOZ	false	0.4286	0.6667	cascading	false	false
RQGEAOZ	random_control	false	orientation_mark_loss	ZYNLGVF	false	1.0000	0.0000	global	false	false
RQGEAOZ	random_control	false	outer_contour_loss_2rings	RQGEAOZ	true	0.0000	1.0000	none	false	false
RQGEAOZ	random_control	false	random_ring_shift	RQGKAOZ	false	0.1429	1.0000	local	false	false
RQGEAOZ	random_control	false	single_position_substitution	RQGMAOZ	false	0.1429	1.0000	local	false	false
RQGEAOZ	random_control	false	swap_two_elements	QRGEAOZ	false	0.2857	0.8333	synchronization	false	false
SPECVLVM	thematic_device_name	true	deletion_physical_collapse	SPECLVMS	false	0.2500	0.0000	synchronization	true	false
SPECVLVM	thematic_device_name	true	deletion_ring_identity_marked	SPEC?LVM	false	0.1250	1.0000	local	true	true
SPECVLVM	thematic_device_name	true	multiple_independent_damages_3	FPQCVYVM	false	0.3750	0.7143	cascading	true	false
SPECVLVM	thematic_device_name	true	orientation_mark_loss	AXLICRCS	false	1.0000	0.0000	global	true	false
SPECVLVM	thematic_device_name	true	outer_contour_loss_2rings	SPECVLVM	true	0.0000	1.0000	none	false	true
SPECVLVM	thematic_device_name	true	random_ring_shift	SPECBLVM	false	0.1250	1.0000	local	true	true
SPECVLVM	thematic_device_name	true	single_position_substitution	SPECDLVM	false	0.1250	1.0000	local	true	true
SPECVLVM	thematic_device_name	true	swap_two_elements	PSECVLVM	false	0.2500	0.8571	synchronization	true	false
ZQB	random_control	false	deletion_physical_collapse	ZBS	false	0.6667	0.0000	synchronization	false	false
ZQB	random_control	false	deletion_ring_identity_marked	Z?B	false	0.3333	1.0000	local	false	false
ZQB	random_control	false	orientation_mark_loss	FYH	false	1.0000	0.0000	global	false	false
ZQB	random_control	false	outer_contour_loss_2rings	ZQB	true	0.0000	1.0000	none	false	false
ZQB	random_control	false	random_ring_shift	ZXB	false	0.3333	1.0000	local	false	false
ZQB	random_control	false	single_position_substitution	ZZB	false	0.3333	1.0000	local	false	false
ZQB	random_control	false	swap_two_elements	QZB	false	0.6667	0.5000	synchronization	false	false
