evidence_type	status	classification	normative_source
predictive_metric	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_metric
predictive_metric	AGGREGATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_metric
predictive_metric	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_metric
predictive_metric	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_metric
predictive_metric	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_metric
predictive_metric	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_metric
predictive_metric	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_metric
predictive_metric	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_metric
predictive_gate	PASS	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_gate
predictive_gate	FAIL	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_gate
predictive_gate	NOT_ASSESSABLE	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_gate
predictive_gate	FIT_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_gate
predictive_gate	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_gate
predictive_gate	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_gate
predictive_gate	AGGREGATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_gate
predictive_gate	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_gate
predictive_gate	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_gate
predictive_gate	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_gate
predictive_gate	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_gate
predictive_gate	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_gate
predictive_gate	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_gate
predictive_verdict	PASS	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_verdict
predictive_verdict	FAIL	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_verdict
predictive_verdict	NOT_ASSESSABLE	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_verdict
predictive_verdict	FIT_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_verdict
predictive_verdict	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_verdict
predictive_verdict	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_verdict
predictive_verdict	AGGREGATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_verdict
predictive_verdict	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_verdict
predictive_verdict	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_verdict
predictive_verdict	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_verdict
predictive_verdict	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_verdict
predictive_verdict	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_verdict
predictive_verdict	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_verdict
generation	PASS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#generation
generation	FAIL	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#generation
generation	NOT_ASSESSABLE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#generation
generation	FIT_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#generation
generation	GENERATION_SUCCESS	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#generation
generation	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#generation
generation	AGGREGATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#generation
generation	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#generation
generation	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#generation
generation	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#generation
generation	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#generation
generation	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#generation
generation	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#generation
f2_metric	PASS	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#f2_metric
f2_metric	FAIL	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#f2_metric
f2_metric	NOT_ASSESSABLE	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#f2_metric
f2_metric	FIT_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#f2_metric
f2_metric	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#f2_metric
f2_metric	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#f2_metric
f2_metric	AGGREGATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#f2_metric
f2_metric	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#f2_metric
f2_metric	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#f2_metric
f2_metric	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#f2_metric
f2_metric	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#f2_metric
f2_metric	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#f2_metric
f2_metric	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#f2_metric
structural_family	PASS	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_family
structural_family	FAIL	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_family
structural_family	NOT_ASSESSABLE	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_family
structural_family	FIT_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_family
structural_family	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_family
structural_family	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_family
structural_family	AGGREGATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_family
structural_family	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_family
structural_family	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_family
structural_family	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_family
structural_family	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_family
structural_family	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_family
structural_family	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_family
structural_gate	PASS	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_gate
structural_gate	FAIL	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_gate
structural_gate	NOT_ASSESSABLE	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_gate
structural_gate	FIT_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_gate
structural_gate	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_gate
structural_gate	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_gate
structural_gate	AGGREGATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_gate
structural_gate	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_gate
structural_gate	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_gate
structural_gate	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_gate
structural_gate	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_gate
structural_gate	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_gate
structural_gate	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_gate
structural_verdict	PASS	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_verdict
structural_verdict	FAIL	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_verdict
structural_verdict	NOT_ASSESSABLE	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_verdict
structural_verdict	FIT_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_verdict
structural_verdict	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_verdict
structural_verdict	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_verdict
structural_verdict	AGGREGATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_verdict
structural_verdict	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_verdict
structural_verdict	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_verdict
structural_verdict	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_verdict
structural_verdict	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_verdict
structural_verdict	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_verdict
structural_verdict	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#structural_verdict
complexity	PASS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#complexity
complexity	FAIL	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#complexity
complexity	NOT_ASSESSABLE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#complexity
complexity	FIT_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#complexity
complexity	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#complexity
complexity	COMPLEXITY_SUCCESS	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#complexity
complexity	AGGREGATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#complexity
complexity	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#complexity
complexity	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#complexity
complexity	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#complexity
complexity	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#complexity
complexity	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#complexity
complexity	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#complexity
minimality	PASS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#minimality
minimality	FAIL	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#minimality
minimality	NOT_ASSESSABLE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#minimality
minimality	FIT_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#minimality
minimality	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#minimality
minimality	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#minimality
minimality	AGGREGATION_SUCCESS	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#minimality
minimality	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#minimality
minimality	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#minimality
minimality	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#minimality
minimality	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#minimality
minimality	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#minimality
minimality	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#minimality
final_verdict	PASS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#final_verdict
final_verdict	FAIL	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#final_verdict
final_verdict	NOT_ASSESSABLE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#final_verdict
final_verdict	FIT_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#final_verdict
final_verdict	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#final_verdict
final_verdict	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#final_verdict
final_verdict	AGGREGATION_SUCCESS	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#final_verdict
final_verdict	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#final_verdict
final_verdict	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#final_verdict
final_verdict	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#final_verdict
final_verdict	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#final_verdict
final_verdict	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#final_verdict
final_verdict	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#final_verdict
not_reached	PASS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#not_reached
not_reached	FAIL	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#not_reached
not_reached	NOT_ASSESSABLE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#not_reached
not_reached	FIT_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#not_reached
not_reached	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#not_reached
not_reached	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#not_reached
not_reached	AGGREGATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#not_reached
not_reached	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#not_reached
not_reached	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#not_reached
not_reached	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#not_reached
not_reached	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#not_reached
not_reached	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#not_reached
not_reached	NOT_REACHED	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#not_reached
scientific_failure	PASS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#scientific_failure
scientific_failure	FAIL	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#scientific_failure
scientific_failure	NOT_ASSESSABLE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#scientific_failure
scientific_failure	FIT_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#scientific_failure
scientific_failure	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#scientific_failure
scientific_failure	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#scientific_failure
scientific_failure	AGGREGATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#scientific_failure
scientific_failure	FIT_FAILURE	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#scientific_failure
scientific_failure	NUMERICAL_FAILURE	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#scientific_failure
scientific_failure	INDUCTION_CAP	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#scientific_failure
scientific_failure	GENERATION_FAILURE	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#scientific_failure
scientific_failure	PROTOCOL_VETO	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#scientific_failure
scientific_failure	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#scientific_failure
