sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x011461 x013418	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	40,108	false	false	true	
x011462 x028397	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	23,394	false	false	true	
x013034 x002394	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	60,27	false	false	true	
x013057 x030834	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	126,90	false	false	true	
x013060 x030839	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	114,108	false	false	true	
x013872 x012673	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	199,64	false	false	true	
x013872 x013032	2	4	4	3	2	2	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	199,60	false	false	true	
x013872 x013034	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	199,60	false	false	true	
x013873 x000954	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	204,11	false	false	true	
x013873 x006238	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	204,31	false	false	true	
x013873 x025060	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	204,13	false	false	true	
x013874 x000959	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	210,11	false	false	true	
x013874 x013037	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	210,56	false	false	true	
x013875 x000958	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	226,12	false	false	true	
x013875 x006234	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	226,30	false	false	true	
x013875 x006239	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	226,26	false	false	true	
x013875 x012672	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	226,54	false	false	true	
x013875 x013033	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	226,55	false	false	true	
x013875 x013035	2	7	7	5	4	4	1	0.2857142857142857	2.2359263506290326	GROUP_CONSISTENT	ambiguous-transcription	226,67	false	false	true	
x013875 x030839	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	226,108	false	false	true	
x013876 x012676	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	201,64	false	false	true	
x013876 x013033	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	201,55	false	false	true	
x013876 x013037	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	201,56	false	false	true	
x013877 x012677	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	196,66	false	false	true	
x013877 x013032	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	196,60	false	false	true	
x013877 x013034	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	196,60	false	false	true	
x014154 x028392	2	8	8	8	4	4	1	0.125	3	GROUP_CONSISTENT	ambiguous-transcription	108,363	false	false	true	
x014154 x028393	2	10	10	9	4	4	1	0.2	3.121928094887362	GROUP_CONSISTENT	ambiguous-transcription	108,409	false	false	true	
x014154 x028394	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	108,402	false	false	true	
x014154 x028395	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	108,382	false	false	true	
x014154 x028396	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	108,375	false	false	true	
x014154 x028397	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	108,394	false	false	true	
x014155 x013418	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	119,108	false	false	true	
x014155 x028392	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	119,363	false	false	true	
x014155 x028394	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	119,402	false	false	true	
x014155 x028395	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	119,382	false	false	true	
x014155 x028396	2	7	7	7	3	3	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	119,375	false	false	true	
x014155 x028397	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	119,394	false	false	true	
x014156 x013421	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	111,71	false	false	true	
x014156 x028392	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	111,363	false	false	true	
x014156 x028394	2	7	7	6	4	4	1	0.2857142857142857	2.521640636343318	GROUP_CONSISTENT	ambiguous-transcription	111,402	false	false	true	
x014156 x028395	2	9	9	9	4	4	1	0.1111111111111111	3.169925001442312	GROUP_CONSISTENT	ambiguous-transcription	111,382	false	false	true	
x014156 x028396	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	111,375	false	false	true	
x014156 x028397	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	111,394	false	false	true	
x014157 x028392	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	103,363	false	false	true	
x014157 x028393	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	103,409	false	false	true	
x014157 x028394	2	8	8	8	3	3	1	0.125	3	GROUP_CONSISTENT	ambiguous-transcription	103,402	false	false	true	
x014157 x028395	2	8	8	8	4	4	1	0.125	3	GROUP_CONSISTENT	ambiguous-transcription	103,382	false	false	true	
x014157 x028396	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	103,375	false	false	true	
x014158 x000082	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	112,185	false	false	true	
x014158 x000083	2	4	4	3	3	3	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	112,192	false	false	true	
x014158 x028392	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	112,363	false	false	true	
x014158 x028394	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	112,402	false	false	true	
x014158 x028395	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	112,382	false	false	true	
x014159 x000081	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	126,194	false	false	true	
x014159 x000082	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	126,185	false	false	true	
x014159 x028393	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	126,409	false	false	true	
x014159 x028394	2	8	8	6	3	3	1	0.25	2.5	GROUP_CONSISTENT	ambiguous-transcription	126,402	false	false	true	
x014159 x028395	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	126,382	false	false	true	
x014159 x028396	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	126,375	false	false	true	
x014159 x028397	2	9	9	9	3	3	1	0.1111111111111111	3.169925001442312	GROUP_CONSISTENT	ambiguous-transcription	126,394	false	false	true	
x014955 x028396	2	4	4	3	3	3	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	72,375	false	false	true	
x015012 x014952	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	127,88	false	false	true	
x015012 x014953	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	127,81	false	false	true	
x015012 x014957	2	6	6	5	4	4	1	0.3333333333333333	2.2516291673878226	GROUP_CONSISTENT	ambiguous-transcription	127,70	false	false	true	
x015012 x030838	2	10	10	9	4	4	1	0.2	3.121928094887362	GROUP_CONSISTENT	ambiguous-transcription	127,99	false	false	true	
x015013 x014952	2	7	7	6	3	3	1	0.2857142857142857	2.521640636343318	GROUP_CONSISTENT	ambiguous-transcription	101,88	false	false	true	
x015013 x014955	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	101,72	false	false	true	
x015013 x030838	2	4	4	3	2	2	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	101,99	false	false	true	
x015014 x030834	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	121,90	false	false	true	
x015014 x030837	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	121,96	false	false	true	
x015015 x014952	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	130,88	false	false	true	
x015015 x014953	2	8	8	7	4	4	1	0.25	2.75	GROUP_CONSISTENT	ambiguous-transcription	130,81	false	false	true	
x015015 x014956	2	9	9	9	4	4	1	0.1111111111111111	3.169925001442312	GROUP_CONSISTENT	ambiguous-transcription	130,87	false	false	true	
x015015 x014957	2	5	5	3	2	2	1	0.4	1.5219280948873621	GROUP_CONSISTENT	ambiguous-transcription	130,70	false	false	true	
x015015 x030835	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	130,90	false	false	true	
x015015 x030836	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	130,91	false	false	true	
x015015 x030837	2	4	4	3	3	3	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	130,96	false	false	true	
x015016 x014952	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	114,88	false	false	true	
x015016 x014954	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	114,63	false	false	true	
x015016 x030835	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	114,90	false	false	true	
x015016 x030837	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	114,96	false	false	true	
x015016 x030839	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	114,108	false	false	true	
x015017 x030837	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	104,96	false	false	true	
x019044 x000081	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	192,194	false	false	true	
x019044 x013417	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	192,93	false	false	true	
x019044 x028392	2	9	9	8	4	4	1	0.2222222222222222	2.94770277922009	GROUP_CONSISTENT	ambiguous-transcription	192,363	false	false	true	
x019044 x028393	2	10	10	10	4	4	1	0.1	3.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	192,409	false	false	true	
x019044 x028394	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	192,402	false	false	true	
x019044 x028395	2	10	10	9	4	4	1	0.2	3.121928094887362	GROUP_CONSISTENT	ambiguous-transcription	192,382	false	false	true	
x019044 x028396	2	7	7	7	3	3	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	192,375	false	false	true	
x019044 x028397	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	192,394	false	false	true	
x019045 x000079	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	168,165	false	false	true	
x019045 x028392	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	168,363	false	false	true	
x019045 x028394	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	168,402	false	false	true	
x019045 x028395	2	9	9	8	4	4	1	0.2222222222222222	2.9477027792200903	GROUP_CONSISTENT	ambiguous-transcription	168,382	false	false	true	
x019045 x028396	2	7	7	6	3	3	1	0.2857142857142857	2.5216406363433186	GROUP_CONSISTENT	ambiguous-transcription	168,375	false	false	true	
x019045 x028397	2	7	7	7	3	3	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	168,394	false	false	true	
x019046 x028392	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	189,363	false	false	true	
x019046 x028393	2	8	8	7	4	4	1	0.25	2.75	GROUP_CONSISTENT	ambiguous-transcription	189,409	false	false	true	
x019046 x028394	2	8	8	8	4	4	1	0.125	3	GROUP_CONSISTENT	ambiguous-transcription	189,402	false	false	true	
x019046 x028395	2	10	10	9	4	4	1	0.2	3.1219280948873624	GROUP_CONSISTENT	ambiguous-transcription	189,382	false	false	true	
x019046 x028396	2	6	6	5	3	3	1	0.3333333333333333	2.2516291673878226	GROUP_CONSISTENT	ambiguous-transcription	189,375	false	false	true	
x019047 x000082	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	186,185	false	false	true	
x019047 x028392	2	7	7	6	4	4	1	0.2857142857142857	2.5216406363433186	GROUP_CONSISTENT	ambiguous-transcription	186,363	false	false	true	
x019047 x028393	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	186,409	false	false	true	
x019047 x028394	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	186,402	false	false	true	
x019047 x028395	2	9	9	8	2	2	1	0.2222222222222222	2.94770277922009	GROUP_CONSISTENT	ambiguous-transcription	186,382	false	false	true	
x019047 x028396	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	186,375	false	false	true	
x019047 x028397	2	8	8	8	4	4	1	0.125	3	GROUP_CONSISTENT	ambiguous-transcription	186,394	false	false	true	
x019048 x000078	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	200,176	false	false	true	
x019048 x028392	2	8	8	8	4	4	1	0.125	3	GROUP_CONSISTENT	ambiguous-transcription	200,363	false	false	true	
x019048 x028393	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	200,409	false	false	true	
x019048 x028394	2	8	8	6	4	4	1	0.25	2.5	GROUP_CONSISTENT	ambiguous-transcription	200,402	false	false	true	
x019048 x028395	2	11	11	11	4	4	1	0.09090909090909091	3.459431618637298	GROUP_CONSISTENT	ambiguous-transcription	200,382	false	false	true	
x019048 x028396	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	200,375	false	false	true	
x019048 x028397	2	9	9	9	4	4	1	0.1111111111111111	3.169925001442312	GROUP_CONSISTENT	ambiguous-transcription	200,394	false	false	true	
x019049 x000081	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	178,194	false	false	true	
x019049 x000083	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	178,192	false	false	true	
x019049 x013417	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	178,93	false	false	true	
x019049 x028393	2	9	9	9	4	4	1	0.1111111111111111	3.169925001442312	GROUP_CONSISTENT	ambiguous-transcription	178,409	false	false	true	
x019049 x028394	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	178,402	false	false	true	
x019049 x028396	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	178,375	false	false	true	
x019049 x028397	2	10	10	9	3	3	1	0.2	3.121928094887362	GROUP_CONSISTENT	ambiguous-transcription	178,394	false	false	true	
x019147 x028392	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	35,363	false	false	true	
x019147 x028394	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	35,402	false	false	true	
x019148 x028393	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	32,409	false	false	true	
x019150 x028397	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	35,394	false	false	true	
x019151 x028394	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	29,402	false	false	true	
x019151 x028395	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	29,382	false	false	true	
x019151 x028397	2	4	4	3	3	3	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	29,394	false	false	true	
x023779 x013061	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	43,119	false	false	true	
x023783 x013498	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	44,28	false	false	true	
x024864 x013498	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	8,28	false	false	true	
x028386 x013875	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	102,226	false	false	true	
x028386 x028394	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	102,402	false	false	true	
x028388 x013061	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	100,119	false	false	true	
x028388 x013874	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	100,210	false	false	true	
x028388 x013876	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	100,201	false	false	true	
x028390 x013057	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	110,126	false	false	true	
x028390 x013060	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	110,114	false	false	true	
x028390 x013873	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	110,204	false	false	true	
x028390 x013874	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	110,210	false	false	true	
x028391 x013874	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	111,210	false	false	true	
x028391 x013875	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	111,226	false	false	true	
x028393 x029312	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	409,10	false	false	true	
x028395 x017168	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	382,9	false	false	true	
x028396 x019304	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	375,14	false	false	true	
x028396 x029313	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	375,14	false	false	true	
x028466 x030837	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	41,96	false	false	true	
x028903 x028394	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	176,402	false	false	true	
x028903 x028397	2	5	5	4	2	2	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	176,394	false	false	true	
x028904 x002232	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	187,39	false	false	true	
x028904 x002234	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	187,54	false	false	true	
x028905 x028392	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	203,363	false	false	true	
x028905 x028394	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	203,402	false	false	true	
x028906 x028393	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	176,409	false	false	true	
x028906 x028395	2	5	5	4	4	4	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	176,382	false	false	true	
x028907 x028392	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	168,363	false	false	true	
x028907 x028396	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	168,375	false	false	true	
x030164 x028395	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	42,382	false	false	true	
x030165 x028396	2	6	6	5	3	3	1	0.3333333333333333	2.2516291673878226	GROUP_CONSISTENT	ambiguous-transcription	29,375	false	false	true	
x030836 x000081	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	91,194	false	false	true	
x031578 x000082	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	72,185	false	false	true	
x031578 x000083	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	72,192	false	false	true	
x031580 x000079	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	66,165	false	false	true	
x031582 x000083	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	66,192	false	false	true	
