metric_id	family	classification	required_structures	structures_available	estimator_availability	computational_requirements	task82a_original_status	applicability_status	reason
LC1_LOCUS_TYPE_NMI	locus	CORE	LOCUS_COORDINATES	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_METADATA	NOT_APPLICABLE_METADATA	No documented locus type exists.
LC2_LABEL_TEXT_NMI	locus	CORE	LOCUS_COORDINATES,FOLIOS	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_METADATA	NOT_APPLICABLE_METADATA	No locus label/text or folio metadata exists.
LC5_IVTFF_I_NMI	locus	SUPPORTING	CURRIER_OR_EQUIVALENT_METADATA	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_METADATA	NOT_APPLICABLE_METADATA	IVTFF variable metadata is unavailable.
LC5_IVTFF_X_NMI	locus	SUPPORTING	CURRIER_OR_EQUIVALENT_METADATA	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_METADATA	NOT_APPLICABLE_METADATA	IVTFF variable metadata is unavailable.
LP1_RULE_SUPPORT_GINI	lexical paradigm	SUPPORTING	GLYPH_SEQUENCE,TOKEN_SEQUENCE	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	COMPUTED_OR_ATTEMPTED	DIRECTLY_APPLICABLE	Rule support is computed from the observable vocabulary.
LP4_PREFIX_ATTACHMENT_NMI	lexical paradigm	SUPPORTING	GLYPH_SEQUENCE,TOKEN_SEQUENCE	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	COMPUTED_OR_ATTEMPTED	DIRECTLY_APPLICABLE	Attachment statistic is computed from observable tokens.
LP4_SUFFIX_ATTACHMENT_NMI	lexical paradigm	SUPPORTING	GLYPH_SEQUENCE,TOKEN_SEQUENCE	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	COMPUTED_OR_ATTEMPTED	DIRECTLY_APPLICABLE	Attachment statistic is computed from observable tokens.
LS1_LINE_LENGTH_CV	line	SUPPORTING	ASSEMBLER_LINES	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	GENERIC_EXTRACTION_EQUAL_TO_TASK79_V1	O(tokens); zero repetitions; full 468-job portfolio	PREVIOUSLY_COST_BOUNDED	ASSEMBLER_APPLICABLE	Token counts are defined only for assembler lines.
LS2_POSITIONAL_LEXICON_NMI	line	CORE	TOKEN_SEQUENCE,ASSEMBLER_LINES	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	GENERIC_EXTRACTION_EQUAL_TO_TASK79_V1	O(tokens); zero repetitions; full 468-job portfolio	PREVIOUSLY_COST_BOUNDED	ASSEMBLER_APPLICABLE	Position classes are defined only for assembler lines.
LS3_BOUNDARY_LENGTH_ASYMMETRY	line	CORE	TOKEN_BOUNDARIES,ASSEMBLER_LINES	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	GENERIC_EXTRACTION_EQUAL_TO_TASK79_V1	O(tokens); zero repetitions; full 468-job portfolio	PREVIOUSLY_COST_BOUNDED	ASSEMBLER_APPLICABLE	Boundary comparison is defined only for assembler lines.
LS4_WITHIN_LINE_EXACT_REPETITION	line	SUPPORTING	TOKEN_SEQUENCE,ASSEMBLER_LINES	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	GENERIC_EXTRACTION_EQUAL_TO_TASK79_V1	O(tokens); zero repetitions; full 468-job portfolio	PREVIOUSLY_COST_BOUNDED	ASSEMBLER_APPLICABLE	Within-line recurrence is defined only for assembler lines.
PF2_FOLIO_COHERENCE	folio	CORE	FOLIOS,PHYSICAL_LINES	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_STRUCTURE	NOT_APPLICABLE_STRUCTURE	No folios exist.
PF3_ADJACENT_FOLIO_CONTINUITY	folio	SUPPORTING	FOLIOS	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_STRUCTURE	NOT_APPLICABLE_STRUCTURE	No ordered folios exist.
PF4_RECTO_VERSO_COHERENCE	folio	SUPPORTING	RECTO_VERSO	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_STRUCTURE	NOT_APPLICABLE_STRUCTURE	No recto/verso pairs exist.
PF5_WITHIN_FOLIO_PROGRESSION	folio	CORE	FOLIOS,PHYSICAL_LINES	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_STRUCTURE	NOT_APPLICABLE_STRUCTURE	No folios exist.
cs1/family-line-position	cross-scale	SUPPORTING	ASSEMBLER_LINES,TOKEN_SEQUENCE	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	FROZEN_TASK82A_EXISTING	IMPORTED_FROM_TASK82A	COMPUTED_OR_ATTEMPTED	ASSEMBLER_APPLICABLE	Line positions are assembler-defined.
cs2/prev-family-current-family	cross-scale	SUPPORTING	TOKEN_SEQUENCE	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	COMPUTED_OR_ATTEMPTED	DIRECTLY_APPLICABLE	Token adjacency needs no manuscript structure.
cs3/family-locus-type	cross-scale	SUPPORTING	LOCUS_COORDINATES	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_METADATA	NOT_APPLICABLE_METADATA	No locus metadata exists.
cs4/family-currier	cross-scale	SUPPORTING	CURRIER_OR_EQUIVALENT_METADATA	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_METADATA	NOT_APPLICABLE_METADATA	No Currier-equivalent metadata exists.
cs4/family-section	cross-scale	SUPPORTING	SECTIONS	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_METADATA	NOT_APPLICABLE_METADATA	No section metadata exists.
cs5/local-adjacency-x-regime	cross-scale	SUPPORTING	CURRIER_OR_EQUIVALENT_METADATA,SECTIONS	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_METADATA	NOT_APPLICABLE_METADATA	No regime metadata exists.
cs6/family-diversity-x-line-length	cross-scale	SUPPORTING	ASSEMBLER_LINES,TOKEN_SEQUENCE	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	FROZEN_TASK82A_EXISTING	IMPORTED_FROM_TASK82A	COMPUTED_OR_ATTEMPTED	ASSEMBLER_APPLICABLE	Line lengths are assembler-defined.
cs7/edit-distance-x-structural-distance	cross-scale	SUPPORTING	GLYPH_SEQUENCE,ASSEMBLER_LINES	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	FROZEN_TASK82A_EXISTING	IMPORTED_FROM_TASK82A	COMPUTED_OR_ATTEMPTED	ASSEMBLER_APPLICABLE	Structural distances are assembler-line distances.
