sequence	n	token_validity	sequence_status	shuffle_block_p	shuffle_block_fdr_q	markov_block_p
x017409 x041114	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5394605394605395
x017410 x016897	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4935064935064935
x018496 x001273	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4965034965034965
x018496 x005250	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.7562437562437563
x018496 x008313	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5524475524475524
x018496 x008316	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4825174825174825
x018496 x016896	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.4915084915084915
x018496 x017376	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6633366633366633
x018496 x017379	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4725274725274725
x018497 x001272	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.7082917082917083
x018497 x005248	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6533466533466533
x018497 x008313	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5254745254745254
x018497 x016898	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.005994005994005994	0.006945995181289299	0.7202797202797203
x018498 x001272	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5084915084915085
x018498 x001274	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5254745254745254
x018498 x001277	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5104895104895105
x018498 x008312	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.47152847152847155
x018498 x016898	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.7192807192807192
x018498 x017378	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037367695595543694	0.5254745254745254
x018498 x017379	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.47952047952047955
x018499 x016896	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.37962037962037964
x018499 x017378	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4905094905094905
x018499 x017379	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.44655344655344653
x018500 x017376	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.003996003996003996	0.004770986589168407	0.7062937062937062
x018501 x017376	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5114885114885115
x018560 x042801	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5524475524475524
x018872 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.3126873126873127
x018872 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5274725274725275
x018872 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6433566433566433
x018872 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4955044955044955
x018872 x037860	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.43956043956043955
x018873 x000104	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037367695595543694	0.4955044955044955
x018873 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037367695595543694	0.5144855144855145
x018873 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.054945054945054944	0.05819449367836465	0.5164835164835165
x018873 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.023976023976023976	0.02624042624042624	0.5934065934065934
x018873 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4085914085914086
x018873 x037860	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.48451548451548454
x018873 x037862	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4695304695304695
x018874 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037367695595543694	0.4195804195804196
x018874 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.44655344655344653
x018874 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.36163836163836166
x018874 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.004995004995004995	0.0058572380000951425	0.6853146853146853
x018875 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037367695595543694	0.4645354645354645
x018875 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4305694305694306
x018875 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6413586413586414
x018875 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037367695595543694	0.4205794205794206
x018876 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5424575424575424
x018876 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.004995004995004995	0.0058572380000951425	0.5334665334665335
x018877 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.003996003996003996	0.004770986589168407	0.6143856143856143
x018877 x037862	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6133866133866134
x018878 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037367695595543694	0.8721278721278721
x019714 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.36663336663336665
x019939 x000106	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5034965034965035
x020016 x019936	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.3276723276723277
x020016 x019937	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4835164835164835
x020016 x041112	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.47152847152847155
x020016 x041113	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.4805194805194805
x020016 x041115	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5014985014985015
x020016 x041116	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.46653346653346656
x020017 x019936	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.43956043956043955
x020017 x019938	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4855144855144855
x020017 x041112	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5064935064935064
x020018 x019937	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5414585414585414
x020018 x019939	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4005994005994006
x020018 x041114	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4865134865134865
x020018 x041115	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.47652347652347654
x020019 x019936	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.36063936063936064
x020019 x019937	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6043956043956044
x020019 x041113	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6093906093906094
x020019 x041114	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6673326673326674
x020020 x019936	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.45354645354645357
x020020 x041115	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4785214785214785
x020021 x041114	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6503496503496503
x022954 x038539	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6233766233766234
x023520 x023922	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.7092907092907093
x025392 x000107	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5654345654345654
x025392 x017888	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.5174825174825175
x025392 x020019	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037367695595543694	0.5624375624375625
x025392 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5354645354645354
x025392 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.48151848151848153
x025392 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5734265734265734
x025392 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5384615384615384
x025392 x037860	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.00999000999000999	0.011375907329664555	0.5834165834165834
x025392 x037861	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.4885114885114885
x025393 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.003996003996003996	0.004770986589168407	0.4855144855144855
x025393 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.011988011988011988	0.013495076352219209	0.4935064935064935
x025393 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5294705294705294
x025393 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.48151848151848153
x025393 x037860	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.46553446553446554
x025394 x000107	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.5704295704295704
x025394 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037367695595543694	0.47352647352647353
x025394 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.5284715284715285
x025394 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5504495504495505
x025394 x037860	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.012987012987012988	0.014536599763872492	0.7592407592407593
x025394 x037861	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.5474525474525475
x025394 x037862	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5114885114885115
x025395 x000104	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5754245754245755
x025395 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.004995004995004995	0.0058572380000951425	0.6693306693306693
x025395 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037367695595543694	0.6913086913086913
x025395 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5534465534465535
x025395 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5054945054945055
x025396 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.39760239760239763
x025396 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5624375624375625
x025396 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.46253746253746253
x025396 x037860	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037367695595543694	0.5064935064935064
x025397 x000107	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5224775224775224
x025397 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.5014985014985015
x025398 x017889	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4785214785214785
x025528 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5164835164835165
x025529 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5254745254745254
x025529 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5204795204795205
x025530 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4965034965034965
x025530 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5154845154845155
x025531 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.8251748251748252
x025546 x025394	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6043956043956044
x031704 x017408	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.45754245754245754
x031704 x017409	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.47152847152847155
x031704 x018500	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5324675324675324
x031705 x017413	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5024975024975025
x031709 x017996	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5454545454545454
x037848 x018496	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.011988011988011988	0.013495076352219209	0.5404595404595405
x037848 x018498	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037367695595543694	0.5704295704295704
x037848 x020020	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.5864135864135864
x037848 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.03796203796203796	0.040644138470225424	0.6923076923076923
x037849 x017408	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4785214785214785
x037849 x018498	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.003996003996003996	0.004770986589168407	0.44755244755244755
x037850 x018498	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.5084915084915085
x037850 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.006993006993006993	0.00805627121416595	0.44255744255744256
x037852 x018497	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.4835164835164835
x037952 x019940	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5024975024975025
x037952 x041112	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4785214785214785
x038536 x002978	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5244755244755245
x038536 x022459	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4995004995004995
x038536 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.03696303696303696	0.03979081028261356	0.5114885114885115
x038536 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.06993006993006994	0.07289007289007289	0.5154845154845155
x038536 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.1068931068931069	0.1079894464509849	0.5574425574425574
x038536 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.07592407592407592	0.0779012654012654	0.5704295704295704
x038537 x002976	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6223776223776224
x038537 x002977	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5614385614385614
x038537 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.03996003996003996	0.04255204255204255	0.5734265734265734
x038538 x002976	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5734265734265734
x038538 x002977	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5294705294705294
x038538 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.017982017982017984	0.019790265600321467	0.5434565434565435
x038538 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.14085914085914086	0.14157780994515687	0.5394605394605395
x038538 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.06693306693306693	0.07013730949901162	0.5444555444555444
x038539 x002977	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5204795204795205
x038539 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4645354645354645
x038539 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.014985014985014986	0.01667823701722007	0.5014985014985015
x038540 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.030969030969030968	0.03370662486684586	0.5394605394605395
x038543 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.5484515484515484
x040216 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5604395604395604
x040216 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5564435564435565
x040218 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5584415584415584
x040219 x037860	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4975024975024975
x040220 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.45254745254745254
x040221 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.7172827172827173
x041112 x000105	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5474525474525475
x041114 x000106	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.48951048951048953
x041257 x016897	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.46353646353646355
x042104 x000105	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4825174825174825
x042104 x000108	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.7152847152847153
x042104 x000109	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4855144855144855
x042105 x000104	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5294705294705294
x042800 x017379	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4775224775224775
